cau,romaji,nghia
せんぱいに にほんごを ならいました。,Senpai ni nihongo o naraimashita.,Tôi đã học tiếng Nhật từ đàn anh.
だれに この かさを かりましたか。,Dare ni kono kasa o karimashita ka.,Bạn mượn cái ô này của ai?
…ミラーさんに かりました。,…Miraa-san ni karimashita.,…Tôi mượn của anh Miller.
がっこうから ほんを もらいました。,Gakkou kara hon o moraimashita.,Tôi nhận sách từ nhà trường.
もう しゅくだいを しましたか。,Mou shukudai o shimashita ka.,Bạn làm bài tập chưa?
…はい、もう しました。,"…Hai, mou shimashita.","…Vâng, tôi làm rồi."
もう メールを おくりましたか。,Mou meeru o okurimashita ka.,Bạn gửi email chưa?
…いいえ、まだです。,"…Iie, mada desu.","…Chưa, tôi vẫn chưa."
ケーキは いかがですか。,Keeki wa ikaga desu ka.,Mời anh dùng bánh nhé?
…ありがとうございます。いただきます。,…Arigatou gozaimasu. Itadakimasu.,…Cảm ơn ạ. Tôi xin phép dùng.
おちゃ、のみませんか。,"Ocha, nomimasen ka.",Uống trà không? (lược bỏ trợ từ を)
